DATE,BOGZ1FU206403131Q
2000-01-01,56907.0
2000-04-01,58099.0
2000-07-01,56832.0
2000-10-01,61268.0
2001-01-01,64205.0
2001-04-01,67474.0
2001-07-01,61042.0
2001-10-01,68537.0
2002-01-01,69688.0
2002-04-01,74543.0
2002-07-01,68806.0
2002-10-01,75665.0
2003-01-01,75021.0
2003-04-01,84712.0
2003-07-01,77055.0
2003-10-01,84917.0
2004-01-01,82211.0
2004-04-01,87146.0
2004-07-01,76458.0
2004-10-01,86501.0
2005-01-01,85784.0
2005-04-01,89886.0
2005-07-01,79731.0
2005-10-01,88109.0
2006-01-01,85107.0
2006-04-01,89277.0
2006-07-01,80990.0
2006-10-01,85642.0
2007-01-01,89546.0
2007-04-01,93431.0
2007-07-01,84011.0
2007-10-01,92110.0
2008-01-01,91546.0
2008-04-01,95883.0
2008-07-01,86378.0
2008-10-01,97362.0
2009-01-01,104590.0
2009-04-01,123166.0
2009-07-01,109339.0
2009-10-01,121024.0
2010-01-01,123945.0
2010-04-01,127405.0
2010-07-01,122324.0
2010-10-01,131571.0
2011-01-01,124076.0
2011-04-01,129928.0
2011-07-01,106734.0
2011-10-01,111748.0
2012-01-01,109466.0
2012-04-01,115031.0
2012-07-01,105968.0
2012-10-01,113981.0
2013-01-01,109461.0
2013-04-01,117441.0
2013-07-01,110134.0
2013-10-01,113097.0
2014-01-01,116487.0
2014-04-01,126067.0
2014-07-01,124509.0
2014-10-01,127971.0
2015-01-01,131127.0
2015-04-01,134269.0
2015-07-01,130405.0
2015-10-01,137270.0
2016-01-01,136737.0
2016-04-01,137815.0
2016-07-01,139425.0
2016-10-01,142760.0
2017-01-01,141587.0
2017-04-01,135948.0
2017-07-01,139768.0
2017-10-01,143110.0
2018-01-01,146362.0
2018-04-01,145517.0
2018-07-01,144977.0
2018-10-01,145709.0
2019-01-01,148964.0
2019-04-01,155011.0
2019-07-01,151810.0
2019-10-01,153201.0
2020-01-01,160004.0
2020-04-01,350417.0
2020-07-01,182980.0
2020-10-01,185452.0
2021-01-01,195842.0
2021-04-01,416025.0
2021-07-01,269114.0
2021-10-01,231166.0
2022-01-01,237113.0
2022-04-01,246158.0
2022-07-01,237384.0
