DATE,TOTBUSSMSA
2000-01-01,825947
2000-02-01,816007
2000-03-01,831117
2000-04-01,834242
2000-05-01,829024
2000-06-01,839338
2000-07-01,833896
2000-08-01,829271
2000-09-01,845436
2000-10-01,838446
2000-11-01,834423
2000-12-01,841752
2001-01-01,834365
2001-02-01,836825
2001-03-01,823781
2001-04-01,818875
2001-05-01,827229
2001-06-01,815240
2001-07-01,812016
2001-08-01,817526
2001-09-01,803309
2001-10-01,815803
2001-11-01,808360
2001-12-01,805951
2002-01-01,805181
2002-02-01,808150
2002-03-01,808563
2002-04-01,822418
2002-05-01,822178
2002-06-01,825351
2002-07-01,825966
2002-08-01,835091
2002-09-01,831076
2002-10-01,830434
2002-11-01,836972
2002-12-01,830107
2003-01-01,841529
2003-02-01,841323
2003-03-01,850659
2003-04-01,835469
2003-05-01,837930
2003-06-01,848248
2003-07-01,856894
2003-08-01,859181
2003-09-01,865241
2003-10-01,868785
2003-11-01,874171
2003-12-01,876257
2004-01-01,878019
2004-02-01,887806
2004-03-01,911253
2004-04-01,906616
2004-05-01,916039
2004-06-01,915029
2004-07-01,918548
2004-08-01,928981
2004-09-01,935978
2004-10-01,949671
2004-11-01,956327
2004-12-01,967456
2005-01-01,973388
2005-02-01,978260
2005-03-01,978707
2005-04-01,993902
2005-05-01,987542
2005-06-01,999114
2005-07-01,1004208
2005-08-01,1014570
2005-09-01,1027244
2005-10-01,1034863
2005-11-01,1035265
2005-12-01,1046749
2006-01-01,1058602
2006-02-01,1056372
2006-03-01,1060723
2006-04-01,1059698
2006-05-01,1073680
2006-06-01,1076046
2006-07-01,1071396
2006-08-01,1084083
2006-09-01,1067874
2006-10-01,1063937
2006-11-01,1070361
2006-12-01,1096569
2007-01-01,1082091
2007-02-01,1095538
2007-03-01,1108213
2007-04-01,1115465
2007-05-01,1127789
2007-06-01,1125542
2007-07-01,1124246
2007-08-01,1130809
2007-09-01,1138202
2007-10-01,1152584
2007-11-01,1173602
2007-12-01,1164417
2008-01-01,1180989
2008-02-01,1176755
2008-03-01,1176168
2008-04-01,1196243
2008-05-01,1205632
2008-06-01,1222487
2008-07-01,1217043
2008-08-01,1193539
2008-09-01,1165351
2008-10-01,1113932
2008-11-01,1036611
2008-12-01,998134
2009-01-01,979554
2009-02-01,984028
2009-03-01,956201
2009-04-01,953946
2009-05-01,961072
2009-06-01,977826
2009-07-01,983449
2009-08-01,997449
2009-09-01,999487
2009-10-01,1010189
2009-11-01,1029230
2009-12-01,1038095
2010-01-01,1046896
2010-02-01,1050410
2010-03-01,1070845
2010-04-01,1082750
2010-05-01,1075800
2010-06-01,1075736
2010-07-01,1084265
2010-08-01,1090597
2010-09-01,1098796
2010-10-01,1116703
2010-11-01,1129502
2010-12-01,1143430
2011-01-01,1170410
2011-02-01,1169425
2011-03-01,1197612
2011-04-01,1203300
2011-05-01,1197741
2011-06-01,1205180
2011-07-01,1211538
2011-08-01,1219134
2011-09-01,1219078
2011-10-01,1228770
2011-11-01,1231061
2011-12-01,1238119
2012-01-01,1254701
2012-02-01,1266869
2012-03-01,1268184
2012-04-01,1271196
2012-05-01,1263037
2012-06-01,1242764
2012-07-01,1248108
2012-08-01,1260134
2012-09-01,1275122
2012-10-01,1272324
2012-11-01,1284725
2012-12-01,1284408
2013-01-01,1294749
2013-02-01,1313564
2013-03-01,1293716
2013-04-01,1286911
2013-05-01,1301446
2013-06-01,1297261
2013-07-01,1301135
2013-08-01,1308044
2013-09-01,1309538
2013-10-01,1316130
2013-11-01,1326844
2013-12-01,1326406
2014-01-01,1316282
2014-02-01,1332176
2014-03-01,1342645
2014-04-01,1351200
2014-05-01,1352270
2014-06-01,1352800
2014-07-01,1362391
2014-08-01,1360592
2014-09-01,1357111
2014-10-01,1349248
2014-11-01,1341917
2014-12-01,1328580
2015-01-01,1298602
2015-02-01,1295728
2015-03-01,1305184
2015-04-01,1309624
2015-05-01,1311268
2015-06-01,1317131
2015-07-01,1317754
2015-08-01,1307038
2015-09-01,1305067
2015-10-01,1298668
2015-11-01,1292471
2015-12-01,1278641
2016-01-01,1269025
2016-02-01,1269208
2016-03-01,1273907
2016-04-01,1279042
2016-05-01,1282897
2016-06-01,1299137
2016-07-01,1292720
2016-08-01,1297692
2016-09-01,1302237
2016-10-01,1308419
2016-11-01,1306907
2016-12-01,1333022
2017-01-01,1340041
2017-02-01,1342743
2017-03-01,1338439
2017-04-01,1338626
2017-05-01,1335770
2017-06-01,1340926
2017-07-01,1341571
2017-08-01,1355766
2017-09-01,1374007
2017-10-01,1385901
2017-11-01,1404798
2017-12-01,1415802
2018-01-01,1406527
2018-02-01,1417792
2018-03-01,1416805
2018-04-01,1423305
2018-05-01,1446957
2018-06-01,1443656
2018-07-01,1447255
2018-08-01,1452467
2018-09-01,1453626
2018-10-01,1458313
2018-11-01,1448401
2018-12-01,1430058
2019-01-01,1425205
2019-02-01,1433175
2019-03-01,1442552
2019-04-01,1437004
2019-05-01,1442807
2019-06-01,1437911
2019-07-01,1441043
2019-08-01,1439429
2019-09-01,1432497
2019-10-01,1423627
2019-11-01,1428934
2019-12-01,1428557
2020-01-01,1423687
2020-02-01,1422821
2020-03-01,1345135
2020-04-01,1143227
2020-05-01,1242725
2020-06-01,1356209
2020-07-01,1406179
2020-08-01,1420169
2020-09-01,1433925
2020-10-01,1447466
2020-11-01,1446697
2020-12-01,1467264
2021-01-01,1524341
2021-02-01,1502974
2021-03-01,1586444
2021-04-01,1594668
2021-05-01,1599215
2021-06-01,1623099
2021-07-01,1634914
2021-08-01,1636905
2021-09-01,1657284
2021-10-01,1686231
2021-11-01,1703928
2021-12-01,1698187
2022-01-01,1756481
2022-02-01,1776578
2022-03-01,1805838
2022-04-01,1817211
2022-05-01,1834718
2022-06-01,1856573
2022-07-01,1838499
2022-08-01,1844829
2022-09-01,1847939
